Unnamed: 0,Name,Album,Artist,Spotify_Link
49,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,https://open.spotify.com/track/1jYiIOC5d6soxkJP81fxq2
50,Something Just Like This,Something Just Like This,The Chainsmokers,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
51,Waiting For Love,Stories,Avicii,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj
52,Eenie Meenie,Eenie Meenie,Sean Kingston,https://open.spotify.com/track/45O0tUN9Bh6LH4eNxQ07AT
53,Watermelon Sugar,Fine Line,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
54,Night Changes,FOUR (Deluxe),One Direction,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
55,Say So,Hot Pink,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
56,Electric,Electric,Katy Perry,https://open.spotify.com/track/63eV5hreY9feQP2CmYavpj
57,Higher Power,Higher Power,Coldplay,https://open.spotify.com/track/7iDB2n8NJCDi9L3SEvyDSD
58,My Head & My Heart,Heaven & Hell,Ava Max,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
59,Hold On,Hold On,Justin Bieber,https://open.spotify.com/track/60niPbXXtCDNFv7qPcKIkU
60,Follow You,Follow You / Cutthroat,Imagine Dragons,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
61,BED,BED,Joel Corry,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
62,Run,Run,OneRepublic,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
63,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35 (Remix),Ariana Grande,https://open.spotify.com/track/2sQH02O2HBCPJCztBrCWNa
64,On The Ground,R,ROSÉ,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
65,Floating Through Space,Floating Through Space,Sia,https://open.spotify.com/track/13Yc08Rpzyd3oxPcNhKP8r
66,Waves of Blue,Waves of Blue,Majid Jordan,https://open.spotify.com/track/4lKe0viSvv8ckoTPvHBih1
67,Fireworks (feat. Moss Kena & The Knocks),Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine,https://open.spotify.com/track/154YAkNQuFHLV3LbP7gP1f
